blind;machine;party;afraid;twelve;honor
walk;club;dawn;separate;none;against
class;exactly;aid;doll;factor;chose
sent;anybody;shoot;cannot;report;direction
vowel;perhaps;bread;divide;young;jack
machine;store;contrast;duck;write;softly
soldier;pony;ago;separate;tribe;home
our;factor;develop;progress;grow;pure
quarter;drop;raw;apartment;thousand;watch
slept;student;mice;happy;tears;related
setting;believed;aid;was;stone;sale
path;apart;like;are;title;shot
worth;length;spite;twelve;stock;zoo
both;meat;basis;canal;hospital;grow
fighting;east;first;jump;below;plus
stood;took;finger;strip;nobody;wait
capital;come;shot;directly;hundred;until
column;store;material;though;nearby;in
buried;tax;rest;family;biggest;saved
lying;stronger;setting;pound;special;yesterday
pole;worry;before;chapter;pick;shaking
character;strong;dry;barn;because;underline
prevent;copy;discuss;unusual;plastic;buy
cotton;ocean;castle;grain;service;lady
layers;nervous;ice;voice;rice;such
skill;movement;trade;track;two;everywhere
broken;cause;fight;nodded;pole;climb